conv_id,text,intent,sector,sentiment,turns,_synthetic
conv_00456,"[customer] Oi, vc pode me explicar como funciona o servico de marcação de consultas? td bem complicado
[agent] Olá, beleza! Claro, posso te ajudar com isso. O serviço de marcação de consultas é feito através do nosso site ou pelo telefone. Você pode escolher o médico, o dia e o horário que melhor lhe convier. Qual é o problema que você está enfrentando?
[customer] Eu tentei marcar uma consulta ontem e não consegui, disse que não tinha vaga. Mas eu preciso ver um médico o mais rápido possível, ta show?
[agent] Entendo, sinto muito pelo inconveniente. Vou verificar se há alguma vaga disponível para hoje ou amanhã. Posso te pedir o seu nome e o número do seu plano de saúde, por favor?
[customer] ok, meu nome é João Silva e o numero do meu plano é 123456. vc acha que vai dar certo?
[agent] Sim, João, acho que sim. Encontrei uma vaga para hoje à tarde com um dos nossos médicos. Você pode comparecer à clínica às 14h? Se não for possível, posso tentar encontrar outra opção para você.
[customer] Beleza, 14h ta bom. Obrigado pela ajuda, vc foi super atencioso
[agent] De nada, João! Fico feliz em ter podido ajudar. Se tiver mais alguma coisa, não hesite em entrar em contato. Tenha um ótimo dia e espero que a consulta corra bem",duvida_servico,saude,negative,8,False
conv_00221,"[customer] Eae, tudo bem? Quero saber mais sobre o cartao de credito vc oferece. Qual o limite de compra e qual o preco da anuidade?
[agent] Tudo bem, obrigado por entrar em contato! Nossa anuidade é de R$ 120,00 por ano e o limite de compra varia de acordo com o perfil do cliente. Posso te ajudar a verificar qual seria o seu limite?
[customer] Beleza, ta bom! Quero saber mais sobre o perfil. Como vc define o perfil do cliente? E o que influencia no limite de compra?
[agent] Show, vou explicar! Nossa equipe de análise de crédito verifica a história de crédito do cliente, renda, entre outros fatores. Isso nos ajuda a definir o limite de compra. Se você quiser, posso te encaminhar para uma página com mais informações sobre como funciona
[customer] Td bem, acho que entendi. Mas como faço para solicitar o cartao? Posso fazer td online?
[agent] Sim, é possível solicitar o cartão totalmente online! Basta acessar nosso site, preencher o formulário de solicitação e aguardar a análise da nossa equipe. Se tiver alguma dúvida durante o processo, estou aqui para ajudar
[customer] Ok, vou dar uma olhada no site. Muito obrigado pela ajuda, vc foi super atencioso!
[agent] De nada! Fico feliz em ter podido ajudar. Se tiver mais alguma dúvida ou precisar de mais ajuda, não hesite em entrar em contato. Tenha um ótimo dia!",duvida_produto,financeiro,positive,8,False
conv_00401,"[customer] Oi, td bem? Quero elogiar o atendimento que recebi da sua equipe ontem, show!
[agent] Beleza! Muito obrigado pelo elogio! Fico feliz em saber que nossa equipe atendeu suas expectativas. Qual foi o motivo do atendimento ontem?
[customer] Eu tive um problema com a minha internet e vc me ajudaram a resolver td super rapido, td funcionou perfeito agora
[agent] Que bom! Estou feliz que conseguimos resolver o problema rapidamente. Se tiver alguma outra coisa que precisar, não hesite em entrar em contato, ta bom?
[customer] Ta bom, sim, vou indicar vc para meus amigos, pq o atendimento foi nota 10
[agent] Muito obrigado pelo elogio e pela indicação! Isso significa muito para nós. Se precisar de algo mais, estou aqui para ajudar
[customer] Beleza, tchau
[agent] Tchau! Tenha um ótimo dia",elogio,telecom,positive,8,False
conv_00586,"[customer] oi, vc pode me ajudar com um problema no curso online? td q eu faço, da erro
[agent] Beleza, claro! Qual é o erro que você está enfrentando e em qual aula ou atividade isso está acontecendo?
[customer] na aula de ingles, qdo eu vou fazer o exercicio, da um erro e não deixa eu continuar, já tentei dar refresh na pagina mas td continua igual
[agent] Entendi, show, vamos tentar resolver isso. Você pode me informar qual é o código do erro ou a mensagem exata que aparece na tela? Isso vai me ajudar a identificar o problema
[customer] nao tem codigo, só uma msg q diz q houve um erro e q eu devo tentar novamente mais tarde, mas já tentei varias vezes
[agent] Ta bom, não se preocupe. Vou abrir um ticket para a nossa equipe técnica verificar isso. Você receberá um e-mail com as informações do ticket e assim que possível, vamos te retornar com uma solução. Além disso, você gostaria de tentar uma solução alternativa, como acessar o curso de um navegador diferente ou limpar o cache do seu navegador atual?
[customer] ok, vou tentar, mas se não der, vc vao me ajudar a resolver pelo ticket, né?
[agent] Exatamente, não se preocupe. Vamos te ajudar a resolver o problema, seja pelo ticket ou por aqui, até você conseguir continuar com o curso sem interrupções. Se tiver mais alguma coisa, é só chamar",suporte_tecnico,educacao,neutral,8,False
conv_00302,"[customer] Ei, td bem? Quero elogiar o atendimento da sua equipe, mas tbm falar sobre um problema que td mundo ta tendo com o app, vc podem melhorar isso?
[agent] Obrigado pelo elogio! É sempre um prazer saber que nosso atendimento está agradando. No entanto, sinto que há um problema com o app que está te frustrando. Pode me contar mais sobre o que está acontecendo?
[customer] Beleza, é que o app ta bugando td hora, nao consigo nem fazer um pagamento, show como isso pode acontecer? Td mundo ta reclamando nas redes sociais
[agent] Peço desculpas pelo inconveniente. Vou abrir um ticket para a nossa equipe de desenvolvimento verificar o problema. Você pode me fornecer mais detalhes sobre o erro que está aparecendo? Qual é o modelo do seu celular e a versão do sistema operacional?
[customer] Ta bom, eu uso um android 11, e o erro é que o app simplesmente fecha sozinho quando eu vou fazer um pagamento, nao da nem msg de erro, td muito estranho
[agent] Entendi, vamos investigar isso. Enquanto isso, você pode tentar fazer o pagamento pelo nosso site? E se o problema persistir, podemos oferecer uma solução alternativa. Você gostaria que eu ligasse para você para seguir em frente com o caso?
[customer] Tudo bem, eu acho que vou tentar pelo site, mas se nao der, eu quero sim que vc me ligue, pq isso ta me deixando louco
[agent] Certo, vou anotar aqui para ligar para você se o problema não for resolvido. Obrigado pela paciência e por nos dar a oportunidade de melhorar. Se tiver mais alguma coisa, é só falar",elogio,financeiro,negative,8,False
conv_00755,"[customer] E aí, tudo bem? Eu estou td frustrado com a situação do meu apartamento
[agent] Beleza? Qual é o problema? Você é nosso cliente, né? Quer me contar o que tá acontecendo?
[customer] Sim, eu alugo um apartamento com vc e o problema é que a reforma que vc prometeu fazer nunca foi feita, td continua igual
[agent] Peço desculpa pelo transtorno. Vou verificar o que aconteceu com a reforma. Você pode me dar o código do seu imóvel ou o endereço para eu poder consultar?
[customer] Ta bom, o endereço é rua sao jose, 123. E olha, eu já liguei varias vezes e ninguém resolveu nada
[agent] Entendi, show, eu vou olhar isso com carinho. Já encontrei o seu caso e vou encaminhar para o nosso setor de manutenção. Você deve receber uma ligação deles ainda hoje para agendar a reforma. Se tiver alguma outra coisa, é só me avisar
[customer] Beleza, obrigado. Espero que desta vez seja resolvido mesmo
[agent] De nada, ficamos aqui para ajudar. Se precisar de mais alguma coisa, não hesite em entrar em contato. Tenha um ótimo dia",saudacao,imobiliario,negative,8,False
conv_00789,"[customer] Olá, vc pode me ajudar com um problema que eu tive com o imovel que aluguei pela sua imobiliaria?
[agent] Claro, beleza! Estou aqui para ajudar. Qual foi o problema que você teve com o imóvel?
[customer] TD começou quando eu descobri que o apartamento tinha um problema de vazamento na pia da cozinha. Eu já liguei pra vc mas ninguém resolveu ainda
[agent] Peço desculpas pelo incômodo, show! Vou verificar o que aconteceu com o seu pedido de manutenção. Você tem o número do protocolo da sua reclamação?
[customer] nao tenho o numero da reclamação, mas eu liguei faz uns 3 dias e a pessoa que atendeu disse que iria enviar alguém pra resolver
[agent] Ta bom, vou verificar no sistema. Enquanto isso, posso oferecer um agendamento para um técnico ir até o seu apartamento resolver o problema de vazamento. Você está disponível para receber o técnico esta semana?
[customer] sim, estou disponivel. Obrigado pela ajuda!
[agent] De nada! Vou agendar o técnico para ir até o seu apartamento amanhã. Se tiver alguma outra coisa, é só me ligar, beleza!",reclamacao,imobiliario,neutral,8,False
conv_00487,"[customer] Olá, eu queria saber sobre os planos de saúde que vc oferece
[agent] Beleza! Nós temos vários planos de saúde para atender às necessidades de nossos clientes. Qual é o seu perfil? Você está procurando por um plano individual, familiar ou empresarial?
[customer] eu estou procurando por um plano individual, td bem completo, com td tipo de cobertura
[agent] Entendi! Nós temos um plano individual que inclui cobertura para consultas, exames, internações e procedimentos. Ele é um pouco mais caro, mas é bem completo. Você gostaria de saber mais sobre os preços e as condições?
[customer] sim, show, me fale mais sobre os preços e como eu faço para contratar
[agent] Ta bom! O preço do plano individual completo é de R$ 500,00 por mês. Para contratar, você precisará preencher um formulário de adesão e fazer um exame médico. Depois, você receberá um cartão de beneficiário e poderá começar a utilizar os serviços. Você gostaria de receber um e-mail com mais informações e o link para o formulário de adesão?
[customer] ok, beleza, eu quero receber o e-mail com as infos
[agent] Sem problemas! Eu vou te enviar um e-mail com todas as informações necessárias. Se tiver alguma dúvida, não hesite em entrar em contato conosco. Obrigado por considerar nossa clínica para seus cuidados de saúde!",compra,saude,neutral,8,False
conv_00293,"[customer] Ola, eu so queria dar um feedback sobre o atendimento que eu recebi no app vc
[agent] Beleza! Fico feliz em saber que você gostou do atendimento. Como podemos melhorar ainda mais para você?
[customer] td bem, show mesmo! Achei o cartao digital super prático e a conta corrente tbm, td muito facil de usar
[agent] Muito obrigado pelo elogio! Estamos sempre trabalhando para melhorar e simplificar a vida dos nossos clientes. Você já conhece nossos programas de recompensa e cashback?
[customer] nao tenho certeza, vc podia me explicar melhor? ta bom se for algo que vai me dar beneficios
[agent] Claro! Nossos programas de recompensa oferecem cashback e descontos em various estabelecimentos. Posso te encaminhar para uma página com mais informações ou até mesmo cadastrar você diretamente, se você quiser
[customer] beleza, me encaminha que eu vou dar uma olhada, td bem
[agent] Show! Já te enviei um link com as informações. Se tiver alguma dúvida, é só chamar. Obrigado novamente pelo feedback e tenha um ótimo dia!",elogio,financeiro,positive,8,False
conv_00868,"[customer] Oi, tudo bem? Estou interessado no seu produto de gestao de estoque, pode me falar um pouco sobre ele?
[agent] Beleza! Sim, claro, nosso produto de gestao de estoque e muito completo, permite que vc controle td o seu estoque de forma eficiente, incluindo entrada e saida de produtos, baixas, etc. Quer saber mais sobre algum recurso especifico?
[customer] Show, parece muito interessante! Qual o preco dessa ferramenta? E ela tem algum plano gratuito?
[agent] O preco varia de acordo com o plano que vc escolher, mas temos um plano basico que custa R$ 50,00 por mes, e um plano avancado que custa R$ 150,00 por mes. Sim, temos um plano gratuito, mas com algumas limitacoes, ta bom para pequenas empresas ou para testar a ferramenta
[customer] Ok, td bem! Acho que vou optar pelo plano basico, como eu faço para assinar?
[agent] Basta acessar o nosso site, clicar em assinar e seguir as instrucoes, vc vai precisar informar alguns dados e pagar com cartao de credito ou boleto, se tiver alguma duvida, estou aqui para ajudar
[customer] Beleza, vou fazer isso agora, obrigado pelo atendimento, vc foi muito gentil!
[agent] De nada, foi um prazer ajudar! Se tiver mais alguma duvida ou precisar de ajuda, nao hesite em entrar em contato, tenha um bom dia!",duvida_produto,tecnologia,positive,8,False
conv_00251,"[customer] Olá, estou tendo um problema com o meu cartão, vc pode me ajudar?
[agent] Claro, beleza! Qual é o problema que você está enfrentando com o cartão? Pode me contar mais sobre o que está acontecendo?
[customer] td começou quando eu tentei fazer uma compra online e o cartão foi recusado, show, não entendi o que aconteceu
[agent] Entendi, vamos dar uma olhada nisso. Você pode me informar o número do cartão e a data da tentativa de compra? Vou verificar o que pode ter causado o problema
[customer] o numero do cartao é 1234-5678-9012-3456 e a data foi ontem, vc acha que vc pode resolver isso pra mim?
[agent] Sim, eu acho que posso ajudar. Encontrei o problema, parece que houve uma atualização de segurança no nosso sistema que bloqueou a transação. Vou liberar o cartão para você, mas também vou te encaminhar para o nosso setor de segurança para que eles possam verificar se há algo mais que precisamos fazer
[customer] beleza, obrigado pela ajuda! td bem agora
[agent] De nada! Fico feliz em ter podido ajudar. Se tiver mais alguma coisa, não hesite em entrar em contato. Tenha um ótimo dia!",reclamacao,financeiro,neutral,8,False
conv_00084,"[customer] Olá, vc pode me ajudar com uma duvida sobre o plano de saude? Quero saber mais sobre o preco e as caracteristicas do plano familia
[agent] Beleza! Claro que posso ajudar. O plano de saude familia oferece cobertura para td a familia, com consultas, exames e internacoes. O preco varia de acordo com a idade e o numero de dependentes. Qual a idade dos membros da sua familia?
[customer] td bem, minha esposa tem 32 anos e eu 35, e temos 2 filhos, 8 e 10 anos. Qual seria o preco aproximado?
[agent] Show, vou verificar isso pra vc. Com base nas informacoes que vc me passou, o preco aproximado seria de R$ 1.200,00 por mes. Mas posso fazer um calculo personalizado pra vc, se quiser. Quer que eu envie um email com as informacoes detalhadas?
[customer] ta bom, sim, por favor. E como eu faço pra fazer uma consulta com um medico?
[agent] Facil, vc pode ligar pra gente e agendar uma consulta, ou fazer pelo nosso site. Vou te enviar um link com as informacoes de como agendar. E se tiver mais alguma duvida, eh so ligar pra gente, ok?
[customer] ok, obrigado pela ajuda! Vou receber o email com as informacoes?
[agent] Sim, vc vai receber em breve. Se tiver mais alguma coisa, nao hesite em entrar em contato. Tchau!",duvida_produto,saude,positive,8,False
conv_00256,"[customer] Oi, tudo bem? Estou com um problema no meu cartao, vc pode me ajudar?
[agent] Beleza! Claro que posso te ajudar. Qual é o problema que você está enfrentando com o cartão?
[customer] Ta dando erro quando eu tento fazer uma compra online, mostra que o cartao foi recusado, mas eu sei que tenho saldo td certo
[agent] Entendi, show! Vou verificar o que pode estar acontecendo. Você já tentou atualizar o aplicativo ou verificar se as informações do cartão estão corretas?
[customer] Já atualizei o app e verifiquei td, mas continua dando erro. Acho que pode ser algo mais profundo
[agent] Ok, não se preocupe! Vou abrir um ticket para nossa equipe técnica verificar. Você receberá um e-mail com as instruções para resolver o problema. Se precisar de algo mais, é só chamar
[customer] Muito obrigado, vc foi super prestativo!
[agent] De nada! Fico feliz em ter podido ajudar. Se tiver mais algum problema, não hesite em entrar em contato. Tenha um ótimo dia!",suporte_tecnico,financeiro,positive,8,False
conv_00477,"[customer] oi, vc pode me ajudar com o meu cadastro no site da clinica? td q eu faço da erro
[agent] Claro, beleza! Qual é o erro que você está enfrentando exatamente? Pode me dar mais detalhes?
[customer] show, quando eu vou criar a conta, da um erro de confirmacao de email, mas eu ja confirmei td
[agent] Entendi, vamos tentar resolver isso. Você pode tentar novamente e me informar o código de erro que aparece na tela? Se não resolver, posso encaminhar para o nosso time de suporte técnico
[customer] beleza, vou tentar de novo. se nao resolver, como eu faço pra falar com o time de suporte tecnico?
[agent] Se não resolver, você pode ligar para o nosso número de suporte técnico que está no site, ou enviar um e-mail para o nosso departamento de suporte. Vou te passar o contato também, ta bom?
[customer] ok, td bem, vou tentar de novo e se precisar eu entro em contato
[agent] Show, qualquer coisa é só chamar. Boa sorte e espero que resolva sem precisar de mais ajuda",suporte_tecnico,saude,neutral,8,False
conv_00752,"[customer] Oi, td bem?
[agent] Tudo bem, obrigado! Seja bem-vindo à nossa imobiliária. Como posso ajudar você hoje?
[customer] Ta bom, vc tem algum imovel para alugar em SP?
[agent] Sim, temos várias opções de imóveis para alugar em São Paulo. Qual é o bairro ou região que você está procurando?
[customer] Eu estou procurando algo em Mooca, vc tem alguma coisa la?
[agent] Sim, temos alguns imóveis em Mooca. Posso te enviar uma lista com as opções disponíveis? Ou você prefere que eu te mostre alguns imóveis específicos?
[customer] Show, me envie a lista, por favor
[agent] Beleza! Estou te enviando a lista por e-mail. Se tiver alguma dúvida ou precisar de mais informações, é só me ligar ou responder este e-mail, ok?",saudacao,imobiliario,neutral,8,False
conv_00939,"[customer] Eae, tudo bem? Quero dar um feedback sobre o atendimento que eu recebi ontem, show de bola! O cara que me atendeu foi super prestativo e resolveu td meu problema
[agent] Beleza, obrigado pelo elogio! Fico feliz em saber que nosso atendimento foi útil. Qual foi o nome do atendente que te ajudou ontem? Quero passar o elogio pra ele
[customer] Naum lembro exatamente, mas vc pode verificar no sistema, né? Ele era super simpático e me ajudou com um problema no meu software, ta bom que eu consegui resolver
[agent] Vou verificar aqui, pode demorar um minutinho. Enquanto isso, posso te oferecer um desconto na próxima compra ou algo assim? Como uma forma de agradecer pelo seu feedback
[customer] Pode ser, vc acha que vai demorar muito pra verificar? Quero saber quem foi o cara que me ajudou, pra eu poder agradecer direito
[agent] Já encontrei, foi o João que te atendeu ontem. Vou passar o elogio pra ele, e como prometido, te envio um cupom de desconto por email, beleza?
[customer] Muito obrigado, vc é o cara! Vou usar o desconto na próxima compra, com certeza. E por favor, passe um abraço pro João, ele é um show de bola mesmo!
[agent] Vou passar o recado, e muito obrigado novamente pelo seu feedback! Se precisar de algo mais, não hesite em entrar em contato, tá bom?",elogio,tecnologia,positive,8,False
conv_00428,"[customer] Oi, tudo bem?
[agent] Show, td bem sim! Seja bem-vindo à nossa clínica. Como posso ajudar vc hoje?
[customer] vc tem algum medico especialista em cardiologia disponivel para consulta?
[agent] Sim, temos alguns médicos especialistas em cardiologia. Posso verificar a disponibilidade deles para vc. Qual dia e horário vc prefere?
[customer] td bem, prefiro algo para essa semana, se tiver. Vc pode me dar uma opcao de horario?
[agent] Beleza, vou verificar. Encontrei um horário para quarta-feira às 14h com o Dr. João. Você gostaria de marcar uma consulta com ele?
[customer] sim, ta bom. Como eu faço para confirmar a consulta?
[agent] Ótimo! Vou te enviar um link para você preencher os dados e confirmar a consulta. Se tiver alguma dúvida, é só me ligar de volta, ok?",saudacao,saude,neutral,8,False
conv_00659,"[customer] oi, vc pode me falar sobre o lanche que eu pedi? ta demorando td
[agent] Beleza, pode me dar o numero do seu pedido para eu verificar o que esta acontecendo?
[customer] eh o 1234, eu pedi o x-burguer e td, mas ninguem me falou se tem aquele molho especial
[agent] Show, eu já encontrei o seu pedido. O molho especial esta disponivel, mas infelizmente demoramos um pouco mais para preparar hoje. Posso oferecer um desconto de 10% no seu pedido como compensacao pelo atraso
[customer] ta bom, mas como eu faço para saber se o molho esta incluso? vc pode verificar se o pessoal da cozinha colocou?
[agent] Claro, eu vou verificar e te aviso. Se o molho não estiver incluso, a gente resolve na hora da entrega, ok?
[customer] ok, obrigado, vc pode me dar uma estimativa de quando chega?
[agent] A entrega deve chegar em cerca de 30 minutos. Se tiver alguma outra coisa, é só me chamar, beleza?",duvida_produto,restaurante,negative,8,False
